 (202.319940090179+0.000000000000j)  (5.759742694927-0.000000000000j)
 (203.127867937088+0.000000000000j)  (5.759742694927-0.000000000000j)
 (203.930516481400+0.000000000000j)  (5.759742694927-0.000000000000j)
 (204.750374555588+0.000000000000j)  (5.759742694927+0.000000000000j)
 (205.709678888321+0.000000000000j)  (5.759742694927-0.000000000000j)
 (206.513600826263+0.000000000000j)  (5.759742694927-0.000000000000j)
 (207.323648691177+0.000000000000j)  (5.759742694927-0.000000000000j)
 (208.153950214386+0.000000000000j)  (5.759742694927+0.000000000000j)
 (208.964382886887+0.000000000000j)  (5.759742694927-0.000000000000j)
 (209.776640176773+0.000000000000j)  (5.759742694927+0.000000000000j)
 (210.710852622986+0.000000000000j)  (5.759742694927-0.000000000000j)
 (211.511854410172+0.000000000000j)  (5.759742694927+0.000000000000j)
 (212.322014331818+0.000000000000j)  (5.759742694927-0.000000000000j)
 (213.137895584106+0.000000000000j)  (5.759742694927+0.000000000000j)
 (213.952938556671+0.000000000000j)  (5.759742694927+0.000000000000j)
 (214.758381843567+0.000000000000j)  (5.759742694927-0.000000000000j)
 (215.690319299698+0.000000000000j)  (5.759742694927+0.000000000000j)
 (216.489509820938+0.000000000000j)  (5.759742694927-0.000000000000j)
 (217.295593023300+0.000000000000j)  (5.759742694927-0.000000000000j)
 (218.130090713501+0.000000000000j)  (5.759742694927-0.000000000000j)
 (218.947166919708+0.000000000000j)  (5.759742694927-0.000000000000j)
 (219.780526399612+0.000000000000j)  (5.759742694927-0.000000000000j)
 (220.737703800201+0.000000000000j)  (5.759742694926+0.000000000000j)
 (221.560923337936+0.000000000000j)  (5.759742694926+0.000000000000j)
 (222.382333993912+0.000000000000j)  (5.759742694927+0.000000000000j)
 (223.193049192429+0.000000000000j)  (5.759742694927-0.000000000000j)
 (224.008332014084+0.000000000000j)  (5.759742694927-0.000000000000j)
 (224.847678422928+0.000000000000j)  (5.759742694927+0.000000000000j)
 (225.804870367050+0.000000000000j)  (5.759742694927+0.000000000000j)
 (226.632324218750+0.000000000000j)  (5.759742694927+0.000000000000j)
 (227.441684246063+0.000000000000j)  (5.759742694927-0.000000000000j)
 (228.263092279434+0.000000000000j)  (5.759742694927+0.000000000000j)
 (229.085531949997+0.000000000000j)  (5.759742694926-0.000000000000j)
 (229.920570850372+0.000000000000j)  (5.759742694927+0.000000000000j)
 (230.887409210205+0.000000000000j)  (5.759742694927-0.000000000000j)
 (231.697209119797+0.000000000000j)  (5.759742694927-0.000000000000j)
 (232.534927606583+0.000000000000j)  (5.759742694927+0.000000000000j)
 (233.355593442917+0.000000000000j)  (5.759742694927+0.000000000000j)
 (234.178485393524+0.000000000000j)  (5.759742694927-0.000000000000j)
 (235.002403259277+0.000000000000j)  (5.759742694927-0.000000000000j)
 (235.947222948074+0.000000000000j)  (5.759742694927-0.000000000000j)
 (236.764996767044+0.000000000000j)  (5.759742694927+0.000000000000j)
 (237.597645759583+0.000000000000j)  (5.759742694927-0.000000000000j)
 (238.411700963974+0.000000000000j)  (5.759742694926-0.000000000000j)
 (239.236261844635+0.000000000000j)  (5.759742694927-0.000000000000j)
 (240.040500879288+0.000000000000j)  (5.759742694927-0.000000000000j)
 (240.986468553543+0.000000000000j)  (5.759742694927-0.000000000000j)
 (241.799152135849+0.000000000000j)  (5.759742694927+0.000000000000j)
 (242.627246379852+0.000000000000j)  (5.759742694927-0.000000000000j)
 (243.433616161346+0.000000000000j)  (5.759742694927-0.000000000000j)
 (244.245350599289+0.000000000000j)  (5.759742694926+0.000000000000j)
 (245.072651147842+0.000000000000j)  (5.759742694927+0.000000000000j)
 (246.003733158112+0.000000000000j)  (5.759742694927-0.000000000000j)
 (246.820675373077+0.000000000000j)  (5.759742694927-0.000000000000j)
 (247.629998207092+0.000000000000j)  (5.759742694927+0.000000000000j)
 (248.445230722427+0.000000000000j)  (5.759742694927-0.000000000000j)
 (249.283713579178+0.000000000000j)  (5.759742694927+0.000000000000j)
 (250.117307662964+0.000000000000j)  (5.759742694927-0.000000000000j)
 (251.095567941666+0.000000000000j)  (5.759742694927-0.000000000000j)
 (251.916173934937+0.000000000000j)  (5.759742694927-0.000000000000j)
 (252.730311632156+0.000000000000j)  (5.759742694927+0.000000000000j)
 (253.555233716965+0.000000000000j)  (5.759742694927-0.000000000000j)
 (254.374839067459+0.000000000000j)  (5.759742694927-0.000000000000j)
 (255.277167081833+0.000000000000j)  (5.759742694927+0.000000000000j)
 (256.241953849792+0.000000000000j)  (5.759742694927-0.000000000000j)
 (257.101789474487+0.000000000000j)  (5.759742694927-0.000000000000j)
 (257.946126699448+0.000000000000j)  (5.759742694927-0.000000000000j)
 (258.793293237686+0.000000000000j)  (5.759742694927-0.000000000000j)
 (259.637027502060+0.000000000000j)  (5.759742694927+0.000000000000j)
 (260.572497367859+0.000000000000j)  (5.759742694926+0.000000000000j)
 (261.447574138641+0.000000000000j)  (5.759742694927-0.000000000000j)
 (262.259256839752+0.000000000000j)  (5.759742694927+0.000000000000j)
 (263.068202495575+0.000000000000j)  (5.759742694927+0.000000000000j)
 (263.860070466995+0.000000000000j)  (5.759742694927-0.000000000000j)
 (264.656082630157+0.000000000000j)  (5.759742694927-0.000000000000j)
 (265.534040451050+0.000000000000j)  (5.759742694927+0.000000000000j)
 (266.389348268509+0.000000000000j)  (5.759742694927-0.000000000000j)
 (267.201269149780+0.000000000000j)  (5.759742694927+0.000000000000j)
 (267.994375705719+0.000000000000j)  (5.759742694927+0.000000000000j)
 (268.801102399826+0.000000000000j)  (5.759742694927-0.000000000000j)
 (269.604964733124+0.000000000000j)  (5.759742694927+0.000000000000j)
 (270.488154411316+0.000000000000j)  (5.759742694927+0.000000000000j)
 (271.340112447739+0.000000000000j)  (5.759742694927-0.000000000000j)
 (272.139363527298+0.000000000000j)  (5.759742694926-0.000000000000j)
 (272.936683177948+0.000000000000j)  (5.759742694927-0.000000000000j)
 (273.753521442413+0.000000000000j)  (5.759742694927-0.000000000000j)
 (274.552321195602+0.000000000000j)  (5.759742694927-0.000000000000j)
 (275.439152717590+0.000000000000j)  (5.759742694927-0.000000000000j)
 (276.321710586548+0.000000000000j)  (5.759742694927+0.000000000000j)
 (277.120462417603+0.000000000000j)  (5.759742694927-0.000000000000j)
 (277.915608644485+0.000000000000j)  (5.759742694926+0.000000000000j)
 (278.722799539566+0.000000000000j)  (5.759742694927+0.000000000000j)
 (279.535691022873+0.000000000000j)  (5.759742694927+0.000000000000j)
 (280.398429870605+0.000000000000j)  (5.759742694926-0.000000000000j)
 (281.310377359390+0.000000000000j)  (5.759742694927+0.000000000000j)
 (282.108413696289+0.000000000000j)  (5.759742694927-0.000000000000j)
 (282.911284208298+0.000000000000j)  (5.759742694927+0.000000000000j)
 (283.713370561600+0.000000000000j)  (5.759742694927-0.000000000000j)
 (284.516171693802+0.000000000000j)  (5.759742694927+0.000000000000j)
 (285.341448783875+0.000000000000j)  (5.759742694927-0.000000000000j)
 (286.255476951599+0.000000000000j)  (5.759742694927+0.000000000000j)
 (287.054933786392+0.000000000000j)  (5.759742694927+0.000000000000j)
 (287.865049362183+0.000000000000j)  (5.759742694927+0.000000000000j)
 (288.660084009171+0.000000000000j)  (5.759742694927-0.000000000000j)
 (289.454482793808+0.000000000000j)  (5.759742694927+0.000000000000j)
 (290.247218608856+0.000000000000j)  (5.759742694927+0.000000000000j)
 (291.180140972137+0.000000000000j)  (5.759742694927+0.000000000000j)
 (292.000434875488+0.000000000000j)  (5.759742694927+0.000000000000j)
 (292.795507431030+0.000000000000j)  (5.759742694927+0.000000000000j)
 (293.609679222107+0.000000000000j)  (5.759742694927+0.000000000000j)
 (294.407822847366+0.000000000000j)  (5.759742694927-0.000000000000j)
 (295.212081909180+0.000000000000j)  (5.759742694927-0.000000000000j)
 (296.137079477310+0.000000000000j)  (5.759742694927-0.000000000000j)
 (296.938480854034+0.000000000000j)  (5.759742694927+0.000000000000j)
 (297.740882873535+0.000000000000j)  (5.759742694927-0.000000000000j)
 (298.553972959518+0.000000000000j)  (5.759742694927-0.000000000000j)
 (299.362269401550+0.000000000000j)  (5.759742694927+0.000000000000j)
 (300.180528163910+0.000000000000j)  (5.759742694927-0.000000000000j)
 (301.117523431778+0.000000000000j)  (5.759742694927-0.000000000000j)
 (301.939858198166+0.000000000000j)  (5.759742694927+0.000000000000j)
 (302.741586923599+0.000000000000j)  (5.759742694927+0.000000000000j)
 (303.572777032852+0.000000000000j)  (5.759742694927+0.000000000000j)
 (304.374503374100+0.000000000000j)  (5.759742694927+0.000000000000j)
 (305.185368537903+0.000000000000j)  (5.759742694926+0.000000000000j)
 (306.135472536087+0.000000000000j)  (5.759742694927-0.000000000000j)
 (306.947606325150+0.000000000000j)  (5.759742694927+0.000000000000j)
 (307.743358850479+0.000000000000j)  (5.759742694927-0.000000000000j)
 (308.546360731125+0.000000000000j)  (5.759742694927+0.000000000000j)
 (309.348637342453+0.000000000000j)  (5.759742694927-0.000000000000j)
 (310.169823169708+0.000000000000j)  (5.759742694927+0.000000000000j)
 (311.096478223801+0.000000000000j)  (5.759742694927+0.000000000000j)
 (311.912082433701+0.000000000000j)  (5.759742694927-0.000000000000j)
 (312.709887504578+0.000000000000j)  (5.759742694926-0.000000000000j)
 (313.504968166351+0.000000000000j)  (5.759742694927-0.000000000000j)
